Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M07591155149M;30401;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M07591155148M;30368;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A075L;30325;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M07591155142M;30364;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A07JL;30320;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M0759115513KM;30377;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A030L;30316;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759124R2T3L;30326;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M0759115513DM;30362;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A07PL;30312;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A07DL;30330;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A076L;30309;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759116A07SL;30354;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M07591155141M;30359;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV07959116A05AL;30357;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV095924R2TCL;30724;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV07959125N263L;30726;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV0759124R2T2L;30727;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV07959124R2TDL;30728;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV07959125N261L;30729;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM49GV07959124R2TKL;30730;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M07591155132M;30462;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR0Y603M0759115513AM;30282;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR0Y603M0759115512TM;30281;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10518;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10498;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10506;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10555;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10499;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10549;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10531;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10544;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10550;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10519;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10501;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10513;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10525;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10533;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10505;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10496;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10503;4;True;
